Transaction ID;Products;Date;Categories;Codes
T40;DOWNY 10 ML PASSION, ME BENNO EYE GLASS, MIE SEDAP GORENG, MIE SEDAP SINGAPORE SPICY LAKSA, SOKLIN SOFT 265 G KOREAN CAMELIA, TERIGU BIASA, TONG TJI SUPER 40 GR;2023-06-01;SABUN, MAKANAN, MAKANAN, MAKANAN, SABUN, MAKANAN, MAKANAN;111487, EG, 200301, 203104, 618687, 985324, 214014
T41;BUBUK MURNI 0.25 KG, CIMORY UHT 125 ML SUSU CHOCOLATE, RINSO AN + MOLTO 42 GR 1 RTG;2023-06-01;MAKANAN, MAKANAN, SABUN;456465, 666263, 558062
T42;ANDALAN FILTER 12 5 PAK, DJ 76 KRETEK 12 ISI 5 PACK, GG MERAH 1 PRES, GG SURYA 12 5 PAK, GRENDEL UTAMA ISI 5 PACK, SAMPORNA AGA 10+2 1 PRESS, TAJIMAS GOLD GRENJENG 1 PRES, TAJIMAS KING 1 PRES, TAJIMAS KINGDOM 12;2023-06-02;ROKOK, ROKOK, ROKOK, ROKOK, ROKOK, ROKOK, ROKOK, ROKOK, ROKOK;340239, 101668, 500128, 110129, 122199, 000988, 076009, KING, DOM
T43;INDOMILK KENTAL MANIS COKLAT 37 GR, KAPAL API 25 GR SPECIAL MIX 1 RTG, KOPI LUWAK WHITE KOFFIE 20 GR  1 RT, KREMER PLAIN 37 GR SCT 1 PACK, KUKU BIMA ENER-G ANGGUR 1 KTK, ROYCO SAPI 10 GR 1 RTG, SOKLIN SOFT 265 G KOREAN CAMELIA;2023-06-02;MAKANAN, MAKANAN, MAKANAN, MAKANAN, MAKANAN, MAKANAN, SABUN;001359, 105485, 101289, 020108, 830101, 046651, 618687
T44;GG SURYA 12  1 PRES, GULA PUTIH LOKAL, PANIR PANKO;2023-06-02;ROKOK, MAKANAN, MAKANAN;110129, 859384, 784348
T45;DJ RAPTOR 5 PAK, GG SURYA 12  1 PRES, GRENDEL BIRU 12 1 PRES, GRENDEL UTAMA 1 PRES, SAMPOERNA AGA 10+2 1 PRES, SAMPOERNA MILD 16 5 PACK, TAJIMAS GOLD GRENJENG 1 PRES, TAJIMAS KING 1 PRES, TAJIMAS KINGDOM 12 1 PRES;2023-06-02;ROKOK, ROKOK, ROKOK, ROKOK, ROKOK, ROKOK, ROKOK, ROKOK, ROKOK;0101531, 110129, 129891, 122199, 000988, 096004, 076009, KING, DOM
T46;COTTON BUD BOBY BSRKECIL, VIVA COMP LILAC 19 GR NAT, VIVA ZAK;2023-06-03;TISSU & KAPAS, KOSMETIK, KOSMETIK;050402, 034449, 033244
T47;EKONOMI ANTI NODA LEMON 500 K 1 LSN, SASA 50 G 10 BKS, SOKLIN 52 GR SOFT PURPLE 1 LSN;2023-06-03;SABUN, MAKANAN, SABUN;600095, 943017, 803700
T48;ROMA SARI GANDUM 108 GR PEANUT BUTT, TANGO 39 GR LONG CHOCOLATE, UNIBIS BISKIZ 120 GR MALKIST CHOCOL;2023-06-04;MAKANAN, MAKANAN, MAKANAN;305003, 387286, 022035
T49;CLEAR ICE COOL MENTHOL 2X5ML 1 LSN, COTTON BUD CUSS REG 50 STICK, KELLY PEARL CREAM 15 GR, ROMA SANDWICH PEANUT BUTTER 189 GR, SHINZUI 80 GR KIREI, SOFTEX DAUN SIRIH GREENTEA 30P;2023-06-04;SHAMPO, TISSU & KAPAS, KOSMETIK, MAKANAN, SABUN, PEMBALUT WANITA;529833, 011370, 300705, 305058, 512285, 974179
T50;GULA PUTIH LOKAL, KUE BASAH, MAGIC LEZAT 1 RTG, MAMASUKA 5 GR 1 RTG, MAMASUKA KUAH BAKSO 1 RTG;2023-06-04;MAKANAN, MAKANAN, MAKANAN, MAKANAN, MAKANAN;859384, WING, 521834, 703138, 703091
T51;BAWANG PUTIH, BUBUK MURNI 0.25 KG, MINYAK FITRI BTL 450 ML, SOUN CAP 2003;2023-06-05;MAKANAN, MAKANAN, MAKANAN, MAKANAN;896564, 456465, 532764, 042801
T52;ANDALAN FILTER 12 1 PRES, BUBUK MURNI 0.25 KG, BUKRIM OXYKLIN 800 GR VIOLET SCENT, CIPTADENT 190 GR COOL MINT, KRESEK MERAH 88, PEPSODENT 190 GR WHITE COMPLETE, REFINA 250 GR, SUNLIGHT 370 ML, TOTAL DE PERFUMEE FLORAL VIBES 750;2023-06-06;ROKOK, MAKANAN, SABUN, PASTA GIGI, PLASTIK & MIKA, PASTA GIGI, MAKANAN, SABUN, SABUN;340239, 456465, 522427, 100168, 002900, 707781, 112508, 585297, 529419
T53;BERAS ZAK HIJAU POLOS 1 ZAK, BUBUK MURNI 0.25 KG, GG SURYA 12 5 PAK, GULA PUTIH LOKAL, KACANG TANAH LOKAL, LPG 3 KG, SKM KREMER 500 GR, TELUR RAS A;2023-06-06;MAKANAN, MAKANAN, ROKOK, MAKANAN, MAKANAN, BAHAN BAKAR, MAKANAN, MAKANAN;012353, 456465, 110129, 859384, 047902, 546531, 002936, 783492
T54;GRENDEL BIRU 12, KOREK DUCATI, ROTI SISIR QUEEN  MENTEGAERLIE;2023-06-07;ROKOK, BAHAN BAKAR, MAKANAN;129891, 020238, 047002
