"No.";"Antecedent";"Consequent";"Jumlah";"Support";"Confidence";"Exp. Confidence";"Lift Ratio"
"64";"KRESEK LOREK JATAYU";"BUBUK SATU SATU 250 G";"5";"0,64 %";"12,82 %";"2,18 %";"5,88"
"65";"GRENDEL UTAMA ISI 5 PACK";"TAJIMAS KING";"16";"2,05 %";"50,00 %";"8,72 %";"5,74"
"66";"TAJIMAS KING";"GRENDEL UTAMA ISI 5 PACK";"16";"2,05 %";"23,53 %";"4,10 %";"5,74"
"67";"DJ SCORE TEH MANIS 12";"GG SURYA 12";"6";"0,77 %";"60,00 %";"10,51 %";"5,71"
"68";"GG DJAYA HIJAU 12 1 PRES";"GG SURYA 12";"7";"0,90 %";"58,33 %";"10,51 %";"5,55"
"69";"GRENDEL BIRU 12 1 PRES";"TAJIMAS GOLD GRENJENG 1 PRES";"7";"0,90 %";"23,33 %";"4,23 %";"5,52"
"70";"TAJIMAS GOLD GRENJENG 1 PRES";"GRENDEL BIRU 12 1 PRES";"7";"0,90 %";"21,21 %";"3,85 %";"5,52"
"71";"GULA KELAPA BLITAR";"BAWANG PUTIH";"5";"0,64 %";"23,81 %";"4,36 %";"5,46"
"72";"BAWANG PUTIH";"GULA KELAPA BLITAR";"5";"0,64 %";"14,71 %";"2,69 %";"5,46"
"73";"KACANG TANAH LOKAL";"BUBUK MURNI 0.25 KG";"8";"1,03 %";"29,63 %";"5,51 %";"5,37"
"74";"BUBUK MURNI 0.25 KG";"KACANG TANAH LOKAL";"8";"1,03 %";"18,60 %";"3,46 %";"5,37"
"75";"GRENDEL BIRU 12 1 PRES";"TAJIMAS KING";"14";"1,79 %";"46,67 %";"8,72 %";"5,35"
"76";"TAJIMAS KING";"GRENDEL BIRU 12 1 PRES";"14";"1,79 %";"20,59 %";"3,85 %";"5,35"
"77";"ANDALAN FILTER 12 5 PAK";"TAJIMAS KING";"17";"2,18 %";"45,95 %";"8,72 %";"5,27"
"78";"TAJIMAS KING";"ANDALAN FILTER 12 5 PAK";"17";"2,18 %";"25,00 %";"4,74 %";"5,27"
"79";"GRENDEL UTAMA ISI 5 PACK";"ANDALAN FILTER 12 5 PAK";"8";"1,03 %";"25,00 %";"4,74 %";"5,27"
"80";"ANDALAN FILTER 12 5 PAK";"GRENDEL UTAMA ISI 5 PACK";"8";"1,03 %";"21,62 %";"4,10 %";"5,27"
"81";"TAJIMAS GOLD GRENJENG 1 PRES";"TAJIMAS KING";"15";"1,92 %";"45,45 %";"8,72 %";"5,21"
"82";"TAJIMAS KING";"TAJIMAS GOLD GRENJENG 1 PRES";"15";"1,92 %";"22,06 %";"4,23 %";"5,21"
"83";"DJI SAM SOE 12";"GG SURYA 12";"5";"0,64 %";"50,00 %";"10,51 %";"4,76"
"84";"GRENDEL UTAMA ISI 5 PACK";"GG SURYA 12";"16";"2,05 %";"50,00 %";"10,51 %";"4,76"
"85";"GG SURYA 12";"GRENDEL UTAMA ISI 5 PACK";"16";"2,05 %";"19,51 %";"4,10 %";"4,76"
"86";"TERIGU CAKRA";"GULA PUTIH LOKAL";"5";"0,64 %";"83,33 %";"18,46 %";"4,51"
"87";"ANDALAN FILTER 12 5 PAK";"GG SURYA 12";"17";"2,18 %";"45,95 %";"10,51 %";"4,37"
"88";"GG SURYA 12";"ANDALAN FILTER 12 5 PAK";"17";"2,18 %";"20,73 %";"4,74 %";"4,37"
"89";"BUBUK SATU SATU 250 G";"MIE SEDAP GORENG";"5";"0,64 %";"29,41 %";"6,92 %";"4,25"
"90";"GRENDEL BIRU 12 1 PRES";"ANDALAN FILTER 12 5 PAK";"6";"0,77 %";"20,00 %";"4,74 %";"4,22"
"91";"ANDALAN FILTER 12 5 PAK";"GRENDEL BIRU 12 1 PRES";"6";"0,77 %";"16,22 %";"3,85 %";"4,22"
"92";"TAJIMAS KING";"GG SURYA 12";"30";"3,85 %";"44,12 %";"10,51 %";"4,20"
"93";"GG SURYA 12";"TAJIMAS KING";"30";"3,85 %";"36,59 %";"8,72 %";"4,20"
"94";"KACANG TANAH LOKAL";"MINYAK CURAH BIMOLI";"6";"0,77 %";"22,22 %";"5,38 %";"4,13"
"95";"MINYAK CURAH BIMOLI";"KACANG TANAH LOKAL";"6";"0,77 %";"14,29 %";"3,46 %";"4,13"
"96";"KAPAL API 6.5 G 1 RTG";"TAJIMAS KING";"5";"0,64 %";"35,71 %";"8,72 %";"4,10"
"97";"KOREK DUCATI";"GG SURYA 12";"6";"0,77 %";"42,86 %";"10,51 %";"4,08"
